UserID,ItemID,Rating,DrivingStyle,landscape,mood,naturalphenomena,RoadType,sleepiness,trafficConditions,weather
1001,715,1,NA,NA,NA,NA,NA,NA,NA,sunny
1001,267,1,NA,NA,NA,NA,NA,NA,NA,sunny
1001,294,1,NA,NA,NA,NA,NA,NA,NA,sunny
1001,259,1,NA,NA,NA,NA,NA,NA,NA,snowing
1001,674,1,NA,NA,NA,NA,NA,NA,NA,rainy
1001,674,1,NA,NA,NA,NA,NA,NA,NA,cloudy
1001,259,1,NA,NA,NA,NA,NA,NA,NA,cloudy
1001,715,1,NA,NA,NA,NA,NA,NA,traffic jam,NA
1001,285,1,NA,NA,NA,NA,NA,NA,lots of cars,NA
1001,279,1,NA,NA,NA,NA,NA,sleepy,NA,NA
1001,754,1,NA,NA,NA,NA,NA,sleepy,NA,NA
1001,694,1,NA,NA,NA,NA,NA,awake,NA,NA
1001,251,1,NA,NA,NA,NA,NA,awake,NA,NA
1001,279,1,NA,NA,NA,NA,NA,awake,NA,NA
1001,267,1,NA,NA,NA,NA,city,NA,NA,NA
1001,285,1,NA,NA,NA,night,NA,NA,NA,NA
1001,279,1,NA,NA,NA,night,NA,NA,NA,NA
1001,285,1,NA,NA,NA,morning,NA,NA,NA,NA
1001,754,1,NA,NA,NA,morning,NA,NA,NA,NA
1001,715,1,NA,NA,sad,NA,NA,NA,NA,NA
1001,694,1,NA,NA,lazy,NA,NA,NA,NA,NA
1001,294,1,NA,NA,lazy,NA,NA,NA,NA,NA
1001,251,1,NA,NA,active,NA,NA,NA,NA,NA
1001,251,1,NA,urban,NA,NA,NA,NA,NA,NA
1001,294,1,NA,mountains,NA,NA,NA,NA,NA,NA
1001,674,1,NA,mountains,NA,NA,NA,NA,NA,NA
1001,267,1,NA,country side,NA,NA,NA,NA,NA,NA
1001,694,1,NA,coast line,NA,NA,NA,NA,NA,NA
1001,754,1,relaxed driving,NA,NA,NA,NA,NA,NA,NA
1001,259,1,relaxed driving,NA,NA,NA,NA,NA,NA,NA
1001,259,1,NA,NA,NA,NA,NA,NA,NA,NA
1001,694,1,NA,NA,NA,NA,NA,NA,NA,NA
1001,267,1,NA,NA,NA,NA,NA,NA,NA,NA
1001,251,1,NA,NA,NA,NA,NA,NA,NA,NA
1001,715,1,NA,NA,NA,NA,NA,NA,NA,NA
1001,285,1,NA,NA,NA,NA,NA,NA,NA,NA
1001,674,1,NA,NA,NA,NA,NA,NA,NA,NA
1001,294,1,NA,NA,NA,NA,NA,NA,NA,NA
1001,279,1,NA,NA,NA,NA,NA,NA,NA,NA
1001,754,1,NA,NA,NA,NA,NA,NA,NA,NA
1002,279,1,NA,NA,NA,NA,NA,NA,NA,sunny
1002,250,1,NA,NA,NA,NA,NA,NA,NA,sunny
1002,702,1,NA,NA,NA,NA,NA,NA,NA,sunny
1002,714,1,NA,NA,NA,NA,NA,NA,NA,snowing
1002,762,1,NA,NA,NA,NA,NA,NA,NA,snowing
1002,275,1,NA,NA,NA,NA,NA,NA,NA,snowing
1002,295,1,NA,NA,NA,NA,NA,NA,NA,snowing
1002,757,1,NA,NA,NA,NA,NA,NA,NA,snowing
1002,727,1,NA,NA,NA,NA,NA,NA,NA,snowing
1002,715,1,NA,NA,NA,NA,NA,NA,NA,rainy
1002,256,1,NA,NA,NA,NA,NA,NA,NA,rainy
1002,702,1,NA,NA,NA,NA,NA,NA,NA,rainy
1002,726,1,NA,NA,NA,NA,NA,NA,NA,rainy
1002,730,1,NA,NA,NA,NA,NA,NA,NA,rainy
1002,715,1,NA,NA,NA,NA,NA,NA,NA,cloudy
1002,251,1,NA,NA,NA,NA,NA,NA,NA,cloudy
1002,762,1,NA,NA,NA,NA,NA,NA,traffic jam,NA
1002,718,1,NA,NA,NA,NA,NA,NA,traffic jam,NA
1002,256,1,NA,NA,NA,NA,NA,NA,traffic jam,NA
1002,745,1,NA,NA,NA,NA,NA,NA,traffic jam,NA
1002,263,1,NA,NA,NA,NA,NA,NA,traffic jam,NA
1002,757,1,NA,NA,NA,NA,NA,NA,traffic jam,NA
1002,295,1,NA,NA,NA,NA,NA,NA,traffic jam,NA
1002,732,1,NA,NA,NA,NA,NA,NA,traffic jam,NA
1002,718,1,NA,NA,NA,NA,NA,NA,lots of cars,NA
1002,683,1,NA,NA,NA,NA,NA,NA,lots of cars,NA
1002,751,1,NA,NA,NA,NA,NA,NA,lots of cars,NA
1002,250,1,NA,NA,NA,NA,NA,NA,free road,NA
1002,718,1,NA,NA,NA,NA,NA,NA,free road,NA
1002,757,1,NA,NA,NA,NA,NA,NA,free road,NA
1002,732,1,NA,NA,NA,NA,NA,NA,free road,NA
1002,751,1,NA,NA,NA,NA,NA,NA,free road,NA
1002,719,1,NA,NA,NA,NA,serpentine,NA,NA,NA
1002,716,1,NA,NA,NA,NA,serpentine,NA,NA,NA
1002,745,1,NA,NA,NA,NA,highway,NA,NA,NA
1002,714,1,NA,NA,NA,NA,highway,NA,NA,NA
1002,295,1,NA,NA,NA,NA,highway,NA,NA,NA
1002,737,1,NA,NA,NA,NA,highway,NA,NA,NA
